campaign_id,campaign_name,channel,channel_category,target_audience,target_region,ad_spend_usd,impressions,clicks,click_through_rate_pct,leads_generated,cost_per_lead_usd,mql_qualified_leads,sql_sales_opportunities,pipeline_created_usd,conversions,revenue_generated_usd,return_on_ad_spend,customer_acquisition_cost_usd,roi_pct,start_date,end_date,campaign_status
CAMP-2024-00026,Developer Productivity Blitz - Q3 2024 [Phase 3],Gartner & Forrester Summit Sponsorships,Events & Conferences,Fortune 500 CTOs & VP Infrastructure,ANZ,10600.0,62362,1478,2.37,27,392.59,15,6,214285.24,1,69960.0,6.6,10600.0,560.0,2025-04-10,2025-05-14,Completed
CAMP-2024-00027,Cloud Cost Optimization 40% - Q4 2024 [Phase 1],YouTube Deep-Dive Tech Architecture,Video Marketing,Retail E-Commerce Engineering Directors,Western Europe,72100.0,415466,12921,3.11,1039,69.39,562,207,3664233.07,55,746235.0,10.35,1310.91,935.0,2024-09-07,2024-11-17,Completed
CAMP-2024-00028,Edge AI for Smart Robotics - Q1 2024 [Phase 2],Tech Podcast Host-Read Sponsorship,Audio & Podcasts,SMB Growth Tech Founders,APAC (Japan/Taiwan/SG),44700.0,353485,13185,3.73,507,88.17,364,197,1626269.85,48,644127.0,14.41,931.25,1341.0,2025-05-05,2025-06-01,Completed
CAMP-2024-00029,Automated Compliance & SOC2 - Q2 2024 [Phase 3],Tech Podcast Host-Read Sponsorship,Audio & Podcasts,SMB Growth Tech Founders,Western Europe,94800.0,227434,6914,3.04,1014,93.49,680,340,4383717.66,72,1181208.0,12.46,1316.67,1146.0,2024-12-07,2025-02-25,Completed
CAMP-2024-00030,Automated Compliance & SOC2 - Q3 2024 [Phase 1],YouTube Deep-Dive Tech Architecture,Video Marketing,Cloud Native DevOps & SRE Architects,North America,48800.0,262083,5661,2.16,434,112.44,225,80,1036138.57,31,304024.0,6.23,1574.19,523.0,2024-11-26,2025-01-06,Completed
CAMP-2024-00031,Quantum-Safe Cryptography Suite - Q4 2024 [Phase 2],Virtual Tech Demos & Hands-on Webinars,Owned Events,Cloud Native DevOps & SRE Architects,North America,84900.0,145381,7051,4.85,1364,62.24,959,507,3175386.44,175,921165.0,10.85,485.14,985.0,2025-12-01,2026-01-15,Completed
CAMP-2024-00032,Kubernetes Multi-Cloud Mesh - Q1 2024 [Phase 3],LinkedIn B2B Sponsored Content & InMail,Paid Social,SMB Growth Tech Founders,Western Europe,12400.0,117044,3406,2.91,69,179.71,42,22,358265.46,9,142476.0,11.49,1377.78,1049.0,2026-04-20,2026-06-28,Completed
CAMP-2024-00033,Quantum-Safe Cryptography Suite - Q2 2024 [Phase 1],Developer Hackathons & Open Source Grants,Community,Enterprise Data Engineering Leads,ANZ,25800.0,37079,2184,5.89,603,42.79,390,122,2467760.67,47,509292.0,19.74,548.94,1874.0,2024-03-26,2024-04-28,Completed
CAMP-2024-00034,GenAI Enterprise Copilot Accelerator - Q3 2024 [Phase 2],Executive Newsletter Sponsorships,Sponsored Content,SMB Growth Tech Founders,North America,30100.0,70720,2553,3.61,325,92.62,146,56,1606978.44,11,405447.0,13.47,2736.36,1247.0,2025-02-16,2025-03-10,Completed
CAMP-2024-00035,Zero-Trust Perimeter Defense - Q4 2024 [Phase 3],LinkedIn B2B Sponsored Content & InMail,Paid Social,Retail E-Commerce Engineering Directors,Latin America,40400.0,120902,3482,2.88,277,145.85,171,59,1658616.6,17,410060.0,10.15,2376.47,915.0,2026-04-01,2026-06-08,Completed
CAMP-2024-00036,High-Throughput Streaming Engine - Q1 2024 [Phase 1],Regional Strategic Partner Co-Marketing,Partner Co-Op,Healthcare & Life Sciences Tech Leads,Global Multi-Region,39700.0,194170,9126,4.7,677,58.64,288,75,1282285.71,21,388663.0,9.79,1890.48,879.0,2026-03-20,2026-04-14,Completed
CAMP-2024-00037,Real-Time Telemetry at Scale - Q2 2024 [Phase 2],Developer Hackathons & Open Source Grants,Community,Healthcare & Life Sciences Tech Leads,Middle East,23800.0,31880,2764,8.67,535,44.49,276,111,934865.51,28,325584.0,13.68,850.0,1268.0,2024-06-09,2024-08-17,Completed
CAMP-2024-00038,Developer Productivity Blitz - Q3 2024 [Phase 3],Technical SEO & Pillar Blog Content,Organic Content,Enterprise Data Engineering Leads,ANZ,85000.0,267668,11938,4.46,3079,27.61,2229,1192,5777902.47,354,1966900.0,23.14,240.11,2214.0,2024-07-16,2024-08-18,Completed
CAMP-2024-00039,Next-Gen Lakehouse Migration - Q4 2024 [Phase 1],LinkedIn B2B Sponsored Content & InMail,Paid Social,Fortune 500 CTOs & VP Infrastructure,North America,56100.0,148421,4794,3.23,334,167.96,203,80,1291928.65,31,448239.0,7.99,1809.68,699.0,2025-02-18,2025-05-06,Completed
CAMP-2024-00040,GenAI Enterprise Copilot Accelerator - Q1 2024 [Phase 2],Gartner & Forrester Summit Sponsorships,Events & Conferences,Global AI/ML Research Scientists,Western Europe,58600.0,265313,6341,2.39,196,298.98,97,40,1551346.2,10,547910.0,9.35,5860.0,835.0,2025-11-15,2026-01-26,Completed
CAMP-2024-00041,Cloud Cost Optimization 40% - Q2 2024 [Phase 3],Google Search Ads - Enterprise Intent,Paid Search,SMB Growth Tech Founders,Latin America,10000.0,23588,894,3.79,87,114.94,45,19,198809.45,6,66000.0,6.6,1666.67,560.0,2025-12-24,2026-01-12,Completed
CAMP-2024-00042,Next-Gen Lakehouse Migration - Q3 2024 [Phase 1],Technical SEO & Pillar Blog Content,Organic Content,Global AI/ML Research Scientists,Latin America,72600.0,95074,4440,4.67,2690,26.99,1879,788,4861934.08,286,1478136.0,20.36,253.85,1936.0,2025-09-06,2025-10-31,Completed
CAMP-2024-00043,Developer Productivity Blitz - Q4 2024 [Phase 2],Tech Podcast Host-Read Sponsorship,Audio & Podcasts,Global AI/ML Research Scientists,Western Europe,77300.0,293639,9602,3.27,1207,64.04,674,204,2830363.81,89,780730.0,10.1,868.54,910.0,2024-01-18,2024-02-04,Completed
CAMP-2024-00044,Unified Customer 360 AI - Q1 2024 [Phase 3],YouTube Deep-Dive Tech Architecture,Video Marketing,Enterprise Data Engineering Leads,Global Multi-Region,80700.0,371504,9139,2.46,1185,68.1,475,147,4350175.24,36,970821.0,12.03,2241.67,1103.0,2024-10-02,2024-12-10,Completed
CAMP-2024-00045,Quantum-Safe Cryptography Suite - Q2 2024 [Phase 1],Technical SEO & Pillar Blog Content,Organic Content,FinTech Chief Information Security Officers (CISO),Western Europe,84200.0,126299,8361,6.62,2123,39.66,1163,399,5942735.65,124,2287714.0,27.17,679.03,2617.0,2024-02-12,2024-03-04,Completed
CAMP-2024-00046,High-Throughput Streaming Engine - Q3 2024 [Phase 2],Programmatic Account-Based Display (ABM),ABM Display,Cloud Native DevOps & SRE Architects,APAC (Japan/Taiwan/SG),35900.0,181138,3659,2.02,172,208.72,78,25,754425.35,9,291508.0,8.12,3988.89,712.0,2024-06-30,2024-08-27,Completed
CAMP-2024-00047,Automated Compliance & SOC2 - Q4 2024 [Phase 3],LinkedIn B2B Sponsored Content & InMail,Paid Social,Cloud Native DevOps & SRE Architects,Western Europe,20800.0,63390,1477,2.33,113,184.07,48,15,495699.74,4,119184.0,5.73,5200.0,473.0,2025-05-04,2025-05-31,Completed
CAMP-2024-00048,Real-Time Telemetry at Scale - Q1 2024 [Phase 1],Tech Podcast Host-Read Sponsorship,Audio & Podcasts,FinTech Chief Information Security Officers (CISO),Middle East,22900.0,58101,1714,2.95,385,59.48,211,80,1147769.47,33,360904.0,15.76,693.94,1476.0,2024-07-08,2024-08-23,Completed
CAMP-2024-00049,Real-Time Telemetry at Scale - Q2 2024 [Phase 2],Programmatic Account-Based Display (ABM),ABM Display,Fortune 500 CTOs & VP Infrastructure,APAC (Japan/Taiwan/SG),39200.0,271610,3205,1.18,159,246.54,81,29,938710.67,6,227752.0,5.81,6533.33,481.0,2025-05-01,2025-06-17,Completed
CAMP-2024-00050,Quantum-Safe Cryptography Suite - Q3 2024 [Phase 3],Executive Newsletter Sponsorships,Sponsored Content,Enterprise Data Engineering Leads,Western Europe,60900.0,144701,8002,5.53,818,74.45,512,128,3145803.69,37,892185.0,14.65,1645.95,1365.0,2025-11-16,2025-12-01,Completed
CAMP-2024-00051,Kubernetes Multi-Cloud Mesh - Q4 2024 [Phase 1],Google Search Ads - Enterprise Intent,Paid Search,Retail E-Commerce Engineering Directors,Middle East,66600.0,501123,17389,3.47,565,117.88,328,172,2903030.87,46,711954.0,10.69,1447.83,969.0,2025-06-07,2025-08-03,Completed
CAMP-2024-00052,GenAI Enterprise Copilot Accelerator - Q1 2024 [Phase 2],Developer Hackathons & Open Source Grants,Community,Enterprise Data Engineering Leads,Middle East,80500.0,93925,5072,5.4,2620,30.73,1223,462,6374831.38,101,1518230.0,18.86,797.03,1786.0,2025-05-31,2025-08-08,Completed
CAMP-2024-00053,Automated Compliance & SOC2 - Q2 2024 [Phase 3],Programmatic Account-Based Display (ABM),ABM Display,Enterprise Data Engineering Leads,Middle East,41600.0,385867,7563,1.96,176,236.36,109,56,706378.54,17,250432.0,6.02,2447.06,502.0,2025-11-16,2025-12-11,Completed
CAMP-2024-00054,Zero-Trust Perimeter Defense - Q3 2024 [Phase 1],Developer Hackathons & Open Source Grants,Community,Cloud Native DevOps & SRE Architects,Western Europe,38500.0,72163,3969,5.5,1095,35.16,513,162,2316806.82,58,799645.0,20.77,663.79,1977.0,2026-04-06,2026-05-06,Completed
CAMP-2024-00055,Quantum-Safe Cryptography Suite - Q4 2024 [Phase 2],Tech Podcast Host-Read Sponsorship,Audio & Podcasts,Cloud Native DevOps & SRE Architects,APAC (Japan/Taiwan/SG),55300.0,112076,4102,3.66,758,72.96,318,102,3457660.74,21,852173.0,15.41,2633.33,1441.0,2024-09-19,2024-12-06,Completed
CAMP-2024-00056,Developer Productivity Blitz - Q1 2024 [Phase 3],Google Search Ads - Enterprise Intent,Paid Search,Enterprise Data Engineering Leads,Middle East,66400.0,361933,9736,2.69,493,134.69,364,158,1759736.74,44,468784.0,7.06,1509.09,606.0,2025-08-10,2025-11-04,Completed
CAMP-2024-00057,Developer Productivity Blitz - Q2 2024 [Phase 1],Virtual Tech Demos & Hands-on Webinars,Owned Events,Retail E-Commerce Engineering Directors,Global Multi-Region,90100.0,497935,21710,4.36,1157,77.87,554,266,3014331.18,53,901901.0,10.01,1700.0,901.0,2025-12-17,2026-03-02,Completed
CAMP-2024-00058,Cloud Cost Optimization 40% - Q3 2024 [Phase 2],Google Search Ads - Enterprise Intent,Paid Search,Cloud Native DevOps & SRE Architects,Western Europe,47500.0,228419,7515,3.29,379,125.33,188,84,2030737.31,32,464550.0,9.78,1484.38,878.0,2025-02-09,2025-02-25,Completed
CAMP-2024-00059,Kubernetes Multi-Cloud Mesh - Q4 2024 [Phase 3],Tech Podcast Host-Read Sponsorship,Audio & Podcasts,Retail E-Commerce Engineering Directors,Middle East,55100.0,292625,13373,4.57,607,90.77,263,69,2602494.47,29,674424.0,12.24,1900.0,1124.0,2025-09-04,2025-12-03,Completed
CAMP-2024-00060,Automated Compliance & SOC2 - Q1 2024 [Phase 1],Virtual Tech Demos & Hands-on Webinars,Owned Events,Retail E-Commerce Engineering Directors,Global Multi-Region,56900.0,120850,6393,5.29,688,82.7,419,109,2409583.3,20,818791.0,14.39,2845.0,1339.0,2026-06-04,2026-08-10,Active
CAMP-2024-00061,Kubernetes Multi-Cloud Mesh - Q2 2024 [Phase 2],Regional Strategic Partner Co-Marketing,Partner Co-Op,Fortune 500 CTOs & VP Infrastructure,North America,87800.0,125232,5936,4.74,1395,62.94,784,304,5171844.95,88,1047454.0,11.93,997.73,1093.0,2024-10-03,2024-11-19,Completed
CAMP-2024-00062,Quantum-Safe Cryptography Suite - Q3 2024 [Phase 3],Gartner & Forrester Summit Sponsorships,Events & Conferences,SMB Growth Tech Founders,Latin America,61000.0,252437,5074,2.01,185,329.73,107,28,2049869.77,8,439200.0,7.2,7625.0,620.0,2025-09-24,2025-10-13,Completed
CAMP-2024-00063,Automated Compliance & SOC2 - Q4 2024 [Phase 1],Gartner & Forrester Summit Sponsorships,Events & Conferences,Retail E-Commerce Engineering Directors,Latin America,69500.0,239213,4258,1.78,287,242.16,172,91,2945154.85,36,631060.0,9.08,1930.56,808.0,2024-10-12,2024-12-05,Completed
CAMP-2024-00064,GenAI Enterprise Copilot Accelerator - Q1 2024 [Phase 2],Virtual Tech Demos & Hands-on Webinars,Owned Events,Global AI/ML Research Scientists,ANZ,69800.0,72458,4833,6.67,938,74.41,394,156,3745583.25,49,878084.0,12.58,1424.49,1158.0,2025-10-07,2025-11-14,Completed
CAMP-2024-00065,Edge AI for Smart Robotics - Q2 2024 [Phase 3],Tech Podcast Host-Read Sponsorship,Audio & Podcasts,Cloud Native DevOps & SRE Architects,Global Multi-Region,56600.0,170072,7075,4.16,665,85.11,463,225,2944568.13,73,710330.0,12.55,775.34,1155.0,2024-01-26,2024-04-10,Completed
CAMP-2024-00066,Cloud Cost Optimization 40% - Q3 2024 [Phase 1],Developer Hackathons & Open Source Grants,Community,Global AI/ML Research Scientists,Western Europe,69800.0,115584,8299,7.18,2295,30.41,1192,460,3790917.32,111,1171244.0,16.78,628.83,1578.0,2024-09-23,2024-11-15,Completed
CAMP-2024-00067,GenAI Enterprise Copilot Accelerator - Q4 2024 [Phase 2],LinkedIn B2B Sponsored Content & InMail,Paid Social,Healthcare & Life Sciences Tech Leads,Middle East,76200.0,511522,12430,2.43,430,177.21,257,118,2315148.24,35,465582.0,6.11,2177.14,511.0,2026-05-29,2026-06-29,Completed
CAMP-2024-00068,Kubernetes Multi-Cloud Mesh - Q1 2024 [Phase 3],Executive Newsletter Sponsorships,Sponsored Content,SMB Growth Tech Founders,ANZ,17500.0,26773,1336,4.99,194,90.21,139,72,442501.81,31,158725.0,9.07,564.52,807.0,2024-05-17,2024-07-01,Completed
CAMP-2024-00069,Quantum-Safe Cryptography Suite - Q2 2024 [Phase 1],LinkedIn B2B Sponsored Content & InMail,Paid Social,Healthcare & Life Sciences Tech Leads,APAC (Japan/Taiwan/SG),67300.0,168081,4118,2.45,393,171.25,185,90,1338647.19,18,506769.0,7.53,3738.89,653.0,2024-05-04,2024-06-08,Completed
CAMP-2024-00070,High-Throughput Streaming Engine - Q3 2024 [Phase 2],YouTube Deep-Dive Tech Architecture,Video Marketing,Retail E-Commerce Engineering Directors,North America,47700.0,134525,4251,3.16,493,96.75,243,90,1880747.58,38,584802.0,12.26,1255.26,1126.0,2025-08-01,2025-09-07,Completed
CAMP-2024-00071,High-Throughput Streaming Engine - Q4 2024 [Phase 3],YouTube Deep-Dive Tech Architecture,Video Marketing,Healthcare & Life Sciences Tech Leads,ANZ,8800.0,26831,813,3.03,127,69.29,64,18,307583.83,5,68024.0,7.73,1760.0,673.0,2026-05-24,2026-08-16,Active
CAMP-2024-00072,Next-Gen Lakehouse Migration - Q1 2024 [Phase 1],LinkedIn B2B Sponsored Content & InMail,Paid Social,Healthcare & Life Sciences Tech Leads,Western Europe,68700.0,478882,9003,1.88,342,200.88,168,59,2155789.01,21,645780.0,9.4,3271.43,840.0,2024-11-24,2025-02-20,Completed
CAMP-2024-00073,Quantum-Safe Cryptography Suite - Q2 2024 [Phase 2],Regional Strategic Partner Co-Marketing,Partner Co-Op,Healthcare & Life Sciences Tech Leads,Latin America,94400.0,218730,7065,3.23,1915,49.3,1138,518,4984844.17,200,1011968.0,10.72,472.0,972.0,2025-08-19,2025-09-29,Completed
CAMP-2024-00074,Edge AI for Smart Robotics - Q3 2024 [Phase 3],Gartner & Forrester Summit Sponsorships,Events & Conferences,Global AI/ML Research Scientists,Middle East,40500.0,153598,3671,2.39,127,318.9,86,41,629501.27,13,212625.0,5.25,3115.38,425.0,2024-04-25,2024-06-11,Completed
CAMP-2024-00075,Next-Gen Lakehouse Migration - Q4 2024 [Phase 1],Virtual Tech Demos & Hands-on Webinars,Owned Events,SMB Growth Tech Founders,APAC (Japan/Taiwan/SG),59300.0,69599,3473,4.99,754,78.65,458,235,1275480.61,94,453645.0,7.65,630.85,665.0,2024-02-05,2024-03-02,Completed
CAMP-2024-00076,Unified Customer 360 AI - Q1 2024 [Phase 2],Virtual Tech Demos & Hands-on Webinars,Owned Events,FinTech Chief Information Security Officers (CISO),North America,31700.0,47011,2957,6.29,504,62.9,236,79,1558587.87,28,423195.0,13.35,1132.14,1235.0,2025-04-05,2025-05-24,Completed
CAMP-2024-00077,High-Throughput Streaming Engine - Q2 2024 [Phase 3],LinkedIn B2B Sponsored Content & InMail,Paid Social,Enterprise Data Engineering Leads,APAC (Japan/Taiwan/SG),37800.0,216972,4730,2.18,226,167.26,168,45,1048546.53,10,246078.0,6.51,3780.0,551.0,2025-12-21,2026-03-18,Completed
CAMP-2024-00078,Next-Gen Lakehouse Migration - Q3 2024 [Phase 1],Programmatic Account-Based Display (ABM),ABM Display,Retail E-Commerce Engineering Directors,ANZ,36800.0,361859,7201,1.99,150,245.33,63,30,1202979.97,10,270112.0,7.34,3680.0,634.0,2024-01-14,2024-02-23,Completed
CAMP-2024-00079,Cloud Cost Optimization 40% - Q4 2024 [Phase 2],Developer Hackathons & Open Source Grants,Community,SMB Growth Tech Founders,Western Europe,89200.0,142800,8668,6.07,2148,41.53,1579,477,6799319.59,182,1651092.0,18.51,490.11,1751.0,2024-07-02,2024-09-18,Completed
CAMP-2024-00080,Kubernetes Multi-Cloud Mesh - Q1 2024 [Phase 3],Google Search Ads - Enterprise Intent,Paid Search,Retail E-Commerce Engineering Directors,Middle East,37000.0,207925,5614,2.7,375,98.67,247,73,825546.56,22,326710.0,8.83,1681.82,783.0,2025-02-12,2025-04-01,Completed
CAMP-2024-00081,Developer Productivity Blitz - Q2 2024 [Phase 1],LinkedIn B2B Sponsored Content & InMail,Paid Social,Cloud Native DevOps & SRE Architects,Latin America,91600.0,186267,5439,2.92,525,174.48,389,184,3329012.67,68,686084.0,7.49,1347.06,649.0,2026-06-11,2026-09-01,Active
CAMP-2024-00082,High-Throughput Streaming Engine - Q3 2024 [Phase 2],Developer Hackathons & Open Source Grants,Community,Healthcare & Life Sciences Tech Leads,ANZ,88400.0,340307,20997,6.17,2030,43.55,1224,373,6499511.18,72,2039388.0,23.07,1227.78,2207.0,2025-03-18,2025-05-07,Completed
CAMP-2024-00083,Unified Customer 360 AI - Q4 2024 [Phase 3],Technical SEO & Pillar Blog Content,Organic Content,SMB Growth Tech Founders,Middle East,65400.0,72817,4238,5.82,1507,43.4,752,408,4626649.06,94,1243908.0,19.02,695.74,1802.0,2025-03-23,2025-06-12,Completed
CAMP-2024-00084,Automated Compliance & SOC2 - Q1 2024 [Phase 1],Google Search Ads - Enterprise Intent,Paid Search,Enterprise Data Engineering Leads,North America,66200.0,270340,10327,3.82,673,98.37,285,94,2026070.33,37,477964.0,7.22,1789.19,622.0,2024-10-12,2025-01-03,Completed
CAMP-2024-00085,Quantum-Safe Cryptography Suite - Q2 2024 [Phase 2],YouTube Deep-Dive Tech Architecture,Video Marketing,SMB Growth Tech Founders,North America,59800.0,424811,14656,3.45,819,73.02,354,190,1258498.58,34,397670.0,6.65,1758.82,565.0,2024-03-25,2024-05-29,Completed
CAMP-2024-00086,Unified Customer 360 AI - Q3 2024 [Phase 3],Tech Podcast Host-Read Sponsorship,Audio & Podcasts,FinTech Chief Information Security Officers (CISO),APAC (Japan/Taiwan/SG),6500.0,30300,1212,4.0,107,60.75,65,17,510449.33,4,106275.0,16.35,1625.0,1535.0,2024-10-25,2024-12-15,Completed
