sku_id,product_name,category,warehouse_id,warehouse_location,region,country,current_stock,allocated_stock,available_stock,safety_stock,reorder_point_qty,max_capacity_units,unit_cost_usd,total_inventory_value_usd,supplier_id,supplier_name,supplier_country,supplier_reliability_score,lead_time_days,shipping_method,defect_rate_pct,inventory_turnover_ratio,stock_status,last_audit_date
SKU-HW-01055,Hardware Security Module (HSM) Vault v4.0,Security Appliances,WH-APAC-03,Singapore Gateway Center,APAC-South,Singapore,107,42,65,54,96,377,8824.25,944194.75,SUP-TW-04,Delta Electronics Power Solutions,Taiwan,98.2,28,Dedicated Rail Cargo,1.88,7.7,Optimal,2026-05-05
SKU-HW-01056,Liquid-Cooled AI Inference Blade v1.0,Compute Servers,WH-MEA-01,Dubai Industrial Port Hub,MEA,United Arab Emirates,151,60,91,89,140,419,8925.97,1347821.47,SUP-US-01,Supermicro Engineering Lab,United States,95.9,42,Air Priority Express,0.63,8.7,Optimal,2026-07-11
SKU-HW-01057,Direct-to-Chip Liquid Cooling Manifold v2.0,Power & Cooling,WH-EU-02,Rotterdam Logistics Park,EU-West,Netherlands,404,203,201,191,358,1050,3740.53,1511174.12,SUP-DE-01,Siemens Industrial Automation,Germany,98.6,44,Ocean Freight Container,1.51,11.1,Optimal,2026-05-15
SKU-HW-01058,Liquid-Cooled AI Inference Blade v3.0,Compute Servers,WH-US-03,Chicago Central Depot,US-Central,United States,148,81,67,119,224,694,9775.1,1446714.8,SUP-DE-01,Siemens Industrial Automation,Germany,98.6,44,Dedicated Rail Cargo,0.55,5.6,Optimal,2026-02-04
SKU-HW-01059,Hardware Security Module (HSM) Vault v4.0,Security Appliances,WH-APAC-02,Tokyo High-Tech Depot,APAC-East,Japan,71,16,55,53,104,400,9739.95,691536.45,SUP-US-01,Supermicro Engineering Lab,United States,95.9,6,Air Priority Express,0.4,6.3,Optimal,2026-03-26
SKU-HW-01060,Distributed Object Storage Block v1.0,Storage Systems,WH-MEA-01,Dubai Industrial Port Hub,MEA,United Arab Emirates,107,69,38,191,312,895,6400.18,684819.26,SUP-US-02,Broadcom Optical Networks,United States,97.8,24,Dedicated Rail Cargo,0.87,9.6,Low Stock,2026-06-05
SKU-HW-01061,Hardware Security Module (HSM) Vault v2.0,Security Appliances,WH-APAC-03,Singapore Gateway Center,APAC-South,Singapore,202,82,120,70,125,335,10949.6,2211819.2,SUP-KR-01,Samsung Memory Module Division,South Korea,97.2,37,Air Priority Express,0.79,12.0,Optimal,2026-03-15
SKU-HW-01062,Hardware Security Module (HSM) Vault v3.0,Security Appliances,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,13,6,7,68,134,531,9292.4,120801.2,SUP-TW-03,Quanta Computer Advanced Server,Taiwan,97.5,12,Ground Fleet Line,2.59,3.9,Critical Shortage,2026-03-23
SKU-HW-01063,Dense Wavelength Mux Transceiver v4.0,Optical Components,WH-EU-03,London Distribution Gateway,EU-West,United Kingdom,1351,545,806,801,1516,4231,678.01,915991.51,SUP-DE-01,Siemens Industrial Automation,Germany,98.6,5,Ocean Freight Container,2.42,5.7,Optimal,2026-01-27
SKU-HW-01064,Next-Gen Firewall Threat Shield v1.0,Security Appliances,WH-EU-01,Frankfurt Euro-Hub,EU-Central,Germany,168,35,133,73,111,395,5946.33,998983.44,SUP-JP-01,Murata High-Freq Components,Japan,98.9,22,Air Priority Express,2.48,8.8,Optimal,2026-06-29
SKU-HW-01065,Distributed Object Storage Block v2.0,Storage Systems,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,319,125,194,97,189,654,6411.15,2045156.85,SUP-KR-01,Samsung Memory Module Division,South Korea,97.2,7,Ocean Freight Container,2.91,5.3,Optimal,2026-07-25
SKU-HW-01066,Dense Wavelength Mux Transceiver v3.0,Optical Components,WH-LATAM-01,Sao Paulo Distribution,LATAM,Brazil,3050,827,2223,1211,1899,6393,814.24,2483432.0,SUP-KR-01,Samsung Memory Module Division,South Korea,97.2,22,Ground Fleet Line,2.67,9.1,Optimal,2026-02-20
SKU-HW-01067,High-Density GPU Tensor Server Node v4.0,Compute Servers,WH-EU-01,Frankfurt Euro-Hub,EU-Central,Germany,242,86,156,94,175,677,13252.83,3207184.86,SUP-JP-02,Kyocera Ceramic Packaging,Japan,98.1,7,Ground Fleet Line,2.09,10.7,Optimal,2026-05-18
SKU-HW-01068,Dense Wavelength Mux Transceiver v1.0,Optical Components,WH-APAC-01,Taipei Logistics Hub,APAC-East,Taiwan,1230,298,932,961,1796,4813,719.97,885563.1,SUP-NL-01,ASML Precision Optics Hub,Netherlands,99.1,21,Ocean Freight Container,1.44,13.9,Optimal,2026-03-24
SKU-HW-01069,Distributed Object Storage Block v2.0,Storage Systems,WH-APAC-02,Tokyo High-Tech Depot,APAC-East,Japan,171,57,114,93,203,734,5780.74,988506.54,SUP-TW-04,Delta Electronics Power Solutions,Taiwan,98.2,24,Ocean Freight Container,2.74,2.7,Optimal,2026-02-11
SKU-HW-01070,100G Single-Mode Optical Transceiver v3.0,Optical Components,WH-MEA-01,Dubai Industrial Port Hub,MEA,United Arab Emirates,2158,1024,1134,1536,2746,10598,309.13,667102.54,SUP-JP-01,Murata High-Freq Components,Japan,98.9,15,Ground Fleet Line,2.5,11.0,Optimal,2026-06-20
SKU-HW-01071,Quantum Optical 800G Core Switch v4.0,Networking Hardware,WH-EU-01,Frankfurt Euro-Hub,EU-Central,Germany,179,104,75,74,119,348,20171.7,3610734.3,SUP-TW-02,Foxconn Precision Industry,Taiwan,96.8,19,Ocean Freight Container,1.37,7.6,Optimal,2026-04-04
SKU-HW-01072,Hardware Security Module (HSM) Vault v1.0,Security Appliances,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,93,33,60,53,93,323,9104.27,846697.11,SUP-JP-01,Murata High-Freq Components,Japan,98.9,27,Ocean Freight Container,2.26,6.0,Optimal,2026-04-11
SKU-HW-01073,Dense Wavelength Mux Transceiver v2.0,Optical Components,WH-EU-03,London Distribution Gateway,EU-West,United Kingdom,3288,963,2325,986,2087,7571,824.56,2711153.28,SUP-DE-01,Siemens Industrial Automation,Germany,98.6,39,Ground Fleet Line,2.51,9.5,Optimal,2026-05-06
SKU-HW-01074,Liquid-Cooled AI Inference Blade v3.0,Compute Servers,WH-APAC-01,Taipei Logistics Hub,APAC-East,Taiwan,376,147,229,111,225,769,9491.5,3568804.0,SUP-NL-01,ASML Precision Optics Hub,Netherlands,99.1,17,Ground Fleet Line,2.47,6.3,Optimal,2026-07-13
SKU-HW-01075,Next-Gen Firewall Threat Shield v4.0,Security Appliances,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,4,2,2,129,274,720,6166.14,24664.56,SUP-TW-01,TSMC Advanced Semiconductor,Taiwan,99.4,35,Ocean Freight Container,3.11,3.9,Critical Shortage,2026-08-03
SKU-HW-01076,Redundant Power Distribution Unit 3-Phase v1.0,Power & Cooling,WH-US-03,Chicago Central Depot,US-Central,United States,670,146,524,263,420,1419,3023.17,2025523.9,SUP-US-02,Broadcom Optical Networks,United States,97.8,16,Ocean Freight Container,1.05,11.1,Optimal,2026-01-23
SKU-HW-01077,Direct-to-Chip Liquid Cooling Manifold v2.0,Power & Cooling,WH-EU-01,Frankfurt Euro-Hub,EU-Central,Germany,203,111,92,118,180,712,4253.74,863509.22,SUP-TW-04,Delta Electronics Power Solutions,Taiwan,98.2,21,Dedicated Rail Cargo,2.34,5.8,Optimal,2026-03-14
SKU-HW-01078,Industrial IoT Telemetry Sensor v3.0,Edge Devices,WH-US-03,Chicago Central Depot,US-Central,United States,11051,5819,5232,3524,6932,26026,126.76,1400824.76,SUP-JP-01,Murata High-Freq Components,Japan,98.9,34,Air Priority Express,1.49,2.8,Optimal,2026-04-11
SKU-HW-01079,Redundant Power Distribution Unit 3-Phase v4.0,Power & Cooling,WH-APAC-01,Taipei Logistics Hub,APAC-East,Taiwan,96,44,52,247,493,1325,3280.19,314898.24,SUP-JP-01,Murata High-Freq Components,Japan,98.9,35,Ground Fleet Line,1.97,8.7,Critical Shortage,2026-02-12
SKU-HW-01080,Ultra-Low Latency Spine Router v1.0,Networking Hardware,WH-APAC-02,Tokyo High-Tech Depot,APAC-East,Japan,196,105,91,75,112,444,11025.46,2160990.16,SUP-US-02,Broadcom Optical Networks,United States,97.8,18,Air Priority Express,1.77,8.6,Optimal,2026-07-17
SKU-HW-01081,Industrial IoT Telemetry Sensor v2.0,Edge Devices,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,10180,2846,7334,2224,4003,10468,129.0,1313220.0,SUP-TW-01,TSMC Advanced Semiconductor,Taiwan,99.4,18,Dedicated Rail Cargo,2.56,13.8,Overstocked,2026-07-21
SKU-HW-01082,Redundant Power Distribution Unit 3-Phase v3.0,Power & Cooling,WH-US-02,Virginia Cloud Center,US-East,United States,173,83,90,119,169,665,3185.77,551138.21,SUP-US-01,Supermicro Engineering Lab,United States,95.9,11,Ocean Freight Container,0.65,7.4,Optimal,2026-07-24
SKU-HW-01083,Hardware Security Module (HSM) Vault v4.0,Security Appliances,WH-APAC-03,Singapore Gateway Center,APAC-South,Singapore,189,57,132,56,108,399,9446.55,1785397.95,SUP-NL-01,ASML Precision Optics Hub,Netherlands,99.1,11,Ocean Freight Container,1.17,10.7,Optimal,2026-01-15
SKU-HW-01084,High-Density GPU Tensor Server Node v1.0,Compute Servers,WH-EU-02,Rotterdam Logistics Park,EU-West,Netherlands,188,49,139,117,255,844,13643.98,2565068.24,SUP-TW-04,Delta Electronics Power Solutions,Taiwan,98.2,35,Ground Fleet Line,2.12,7.5,Optimal,2026-07-24
SKU-HW-01085,100G Single-Mode Optical Transceiver v2.0,Optical Components,WH-APAC-02,Tokyo High-Tech Depot,APAC-East,Japan,3930,864,3066,1589,3459,11190,264.7,1040271.0,SUP-JP-02,Kyocera Ceramic Packaging,Japan,98.1,44,Ocean Freight Container,2.81,8.1,Optimal,2026-01-21
SKU-HW-01086,Ultra-Low Latency Spine Router v3.0,Networking Hardware,WH-APAC-02,Tokyo High-Tech Depot,APAC-East,Japan,168,83,85,83,151,559,13140.46,2207597.28,SUP-US-02,Broadcom Optical Networks,United States,97.8,11,Ground Fleet Line,1.61,9.7,Optimal,2026-01-26
SKU-HW-01087,Redundant Power Distribution Unit 3-Phase v4.0,Power & Cooling,WH-EU-02,Rotterdam Logistics Park,EU-West,Netherlands,311,155,156,139,194,695,2928.07,910629.77,SUP-US-01,Supermicro Engineering Lab,United States,95.9,27,Ocean Freight Container,2.54,6.4,Optimal,2026-05-26
