customer_id,company_name,industry,company_size,headquarters_country,subscription_tier,contract_type,mrr_usd,arr_usd,contract_length_months,tenure_months,nps_score,csat_score,monthly_active_users,license_utilization_pct,support_tickets_count,critical_escalations,avg_resolution_time_hrs,product_usage_hours_per_week,feature_adoption_depth,last_login_days_ago,executive_sponsor_engaged,churn_risk_score,churn_risk_level,account_status
CUST-SAAS-00041,Solaris Group P,Energy & CleanTech,1000-5000 Employees,Switzerland,Startup Tier,Quarterly Invoiced,2529.31,30351.72,12,26,10,4.5,62,84.2,2,0,1.7,95.3,Deep Advanced,2,Yes,0.14,Low,Active - Healthy
CUST-SAAS-00042,Prism Biomedical Q,FinTech & Banking,5000+ Enterprise,Switzerland,Startup Tier,Quarterly Invoiced,2523.99,30287.88,12,45,8,4.6,39,82.0,2,0,11.0,160.5,Core Functional,5,Yes,0.19,Low,Active - Healthy
CUST-SAAS-00043,Vanguard Solutions R,Government & Public Sector,5000+ Enterprise,Canada,Professional,Multi-Year 3-Yr Strategic,3436.05,41232.6,12,5,1,2.4,221,44.5,20,1,38.8,9.1,Deep Advanced,45,No,0.65,High,Churned
CUST-SAAS-00044,Horizon Robotics S,E-Commerce & Retail,201-1000 Employees,Australia,Enterprise Plus,Quarterly Invoiced,24724.66,296695.92,12,21,9,4.1,534,96.0,2,1,3.9,113.1,Full API Mesh & Automation,3,Yes,0.38,Medium,In Renewal Discussion
CUST-SAAS-00045,Strata Security T,Media & Entertainment,201-1000 Employees,Australia,Custom Strategic,Quarterly Invoiced,31685.84,380230.08,24,59,8,4.0,2167,94.3,5,0,3.6,166.6,Basic Exploratory,6,Yes,0.21,Low,Active - Healthy
CUST-SAAS-00046,Aero Dynamics U,Telecom & 5G,51-200 Employees,Netherlands,Enterprise Plus,Multi-Year 3-Yr Strategic,22181.56,266178.72,24,22,7,4.8,821,97.9,8,0,10.8,152.1,Full API Mesh & Automation,1,Yes,0.37,Medium,In Renewal Discussion
CUST-SAAS-00047,Pulse Analytics V,Telecom & 5G,201-1000 Employees,France,Startup Tier,Monthly Flexible,1905.72,22868.64,12,14,7,4.6,32,93.3,4,0,11.5,57.4,Basic Exploratory,0,Yes,0.38,Medium,In Renewal Discussion
CUST-SAAS-00048,Terra Industries W,Manufacturing & Robotics,1000-5000 Employees,Japan,Enterprise Plus,Multi-Year 3-Yr Strategic,22367.97,268415.64,12,59,6,2.5,788,49.3,19,5,46.2,21.3,Deep Advanced,20,No,0.66,High,Active - At Risk
CUST-SAAS-00049,Cygnus Systems X,E-Commerce & Retail,1000-5000 Employees,Japan,Enterprise Plus,Annual Pre-Paid,27812.78,333753.36,24,6,1,1.9,972,26.3,28,3,41.4,21.5,Deep Advanced,22,No,0.64,High,Under Review
CUST-SAAS-00050,Novus Ventures Y,FinTech & Banking,1000-5000 Employees,Australia,Startup Tier,Annual Pre-Paid,2944.89,35338.68,12,24,9,4.7,62,80.9,5,0,5.8,158.3,Deep Advanced,6,Yes,0.31,Medium,Active - Healthy
CUST-SAAS-00051,Polaris Logistics Z,Manufacturing & Robotics,10-50 Employees,France,Professional,Annual Pre-Paid,3918.83,47025.96,24,10,3,2.7,214,37.6,27,1,25.1,24.3,Basic Exploratory,62,No,0.84,Critical,Active - At Risk
CUST-SAAS-00052,Echo Global A,Energy & CleanTech,51-200 Employees,Germany,Enterprise Plus,Multi-Year 3-Yr Strategic,24201.17,290414.04,12,35,5,3.2,978,50.8,12,1,54.4,13.5,Core Functional,65,No,0.92,Critical,Churned
CUST-SAAS-00053,Synthetix Digital B,FinTech & Banking,5000+ Enterprise,Japan,Enterprise Plus,Monthly Flexible,19885.77,238629.24,36,48,3,2.5,326,26.6,12,3,47.6,19.5,Basic Exploratory,84,No,0.69,High,Active - At Risk
CUST-SAAS-00054,Vector Enterprises C,FinTech & Banking,1000-5000 Employees,Taiwan,Enterprise Plus,Monthly Flexible,22965.31,275583.72,24,36,7,4.1,541,83.3,5,0,5.0,166.6,Basic Exploratory,0,Yes,0.38,Medium,In Renewal Discussion
CUST-SAAS-00055,Zion Networks D,E-Commerce & Retail,5000+ Enterprise,Canada,Startup Tier,Monthly Flexible,905.4,10864.8,12,2,2,1.8,80,51.6,21,3,64.7,22.4,Basic Exploratory,47,No,0.87,Critical,Under Review
CUST-SAAS-00056,Aura Software E,Government & Public Sector,10-50 Employees,Taiwan,Startup Tier,Quarterly Invoiced,1845.56,22146.72,12,14,4,1.9,43,42.5,34,3,44.7,5.1,Full API Mesh & Automation,79,No,0.95,Critical,Churned
CUST-SAAS-00057,Boreal Capital F,Telecom & 5G,1000-5000 Employees,Netherlands,Professional,Annual Pre-Paid,4339.02,52068.24,12,42,2,3.1,253,25.3,8,1,71.6,20.4,Full API Mesh & Automation,38,No,0.72,High,Under Review
CUST-SAAS-00058,Crest Labs G,Healthcare & BioTech,5000+ Enterprise,Netherlands,Startup Tier,Multi-Year 3-Yr Strategic,2021.46,24257.52,12,22,6,2.8,36,43.5,35,5,52.2,24.8,Deep Advanced,55,No,0.96,Critical,Under Review
CUST-SAAS-00059,Dynasty Cloud H,Healthcare & BioTech,5000+ Enterprise,United Kingdom,Enterprise Plus,Monthly Flexible,24368.7,292424.4,36,24,10,4.1,247,86.9,3,0,10.8,174.2,Deep Advanced,6,Yes,0.25,Medium,Active - Healthy
CUST-SAAS-00060,Apex Technologies I,SaaS & Enterprise Cloud,51-200 Employees,Switzerland,Custom Strategic,Monthly Flexible,25547.86,306574.32,48,56,10,4.8,2595,92.2,8,0,5.8,153.0,Core Functional,6,Yes,0.07,Low,Active - Healthy
CUST-SAAS-00061,Nexus Group J,Telecom & 5G,5000+ Enterprise,Switzerland,Professional,Multi-Year 3-Yr Strategic,6415.99,76991.88,12,49,8,4.2,40,85.7,5,0,6.1,113.8,Full API Mesh & Automation,5,Yes,0.28,Medium,Active - Healthy
CUST-SAAS-00062,Vertex Biomedical K,Logistics & Supply Chain,1000-5000 Employees,Switzerland,Custom Strategic,Annual Pre-Paid,67756.83,813081.96,36,21,8,4.5,2781,83.4,4,0,7.5,157.2,Deep Advanced,7,Yes,0.05,Low,Active - Healthy
CUST-SAAS-00063,Quantum Solutions L,Professional Services & Legal,51-200 Employees,United Kingdom,Custom Strategic,Quarterly Invoiced,87805.62,1053667.44,48,22,8,4.9,6309,99.2,7,0,8.9,175.3,Deep Advanced,1,Yes,0.04,Low,Active - Healthy
CUST-SAAS-00064,Hyperion Robotics M,Energy & CleanTech,1000-5000 Employees,Switzerland,Professional,Monthly Flexible,5884.46,70613.52,12,51,10,4.4,100,76.8,5,0,7.9,93.0,Full API Mesh & Automation,5,Yes,0.15,Low,Active - Healthy
CUST-SAAS-00065,Aegis Security N,Manufacturing & Robotics,10-50 Employees,Netherlands,Custom Strategic,Monthly Flexible,62057.19,744686.28,36,60,7,4.6,2446,84.9,3,0,6.8,69.8,Basic Exploratory,1,Yes,0.09,Low,Active - Healthy
CUST-SAAS-00066,Cobalt Dynamics O,Healthcare & BioTech,201-1000 Employees,Netherlands,Custom Strategic,Multi-Year 3-Yr Strategic,37078.64,444943.68,36,9,8,4.3,1684,85.9,2,0,5.8,51.6,Basic Exploratory,4,Yes,0.27,Medium,Active - Healthy
CUST-SAAS-00067,Starlight Analytics P,Professional Services & Legal,5000+ Enterprise,United States,Enterprise Plus,Annual Pre-Paid,24079.04,288948.48,12,36,3,3.1,764,49.6,22,2,42.0,22.3,Deep Advanced,65,No,0.66,High,Under Review
CUST-SAAS-00068,Titan Industries Q,Manufacturing & Robotics,201-1000 Employees,Canada,Startup Tier,Quarterly Invoiced,1388.12,16657.44,12,58,10,4.5,29,87.4,4,1,10.2,99.4,Deep Advanced,2,Yes,0.04,Low,Active - Healthy
CUST-SAAS-00069,Lumina Systems R,SaaS & Enterprise Cloud,1000-5000 Employees,Taiwan,Startup Tier,Annual Pre-Paid,2238.32,26859.84,12,46,9,4.4,29,97.0,2,0,5.3,50.7,Deep Advanced,1,Yes,0.36,Medium,In Renewal Discussion
CUST-SAAS-00070,Omni Ventures S,Professional Services & Legal,51-200 Employees,France,Professional,Annual Pre-Paid,7378.25,88539.0,24,56,8,4.1,214,84.9,2,0,5.9,74.4,Deep Advanced,5,Yes,0.25,Medium,Active - Healthy
CUST-SAAS-00071,Solaris Logistics T,Manufacturing & Robotics,1000-5000 Employees,United States,Custom Strategic,Annual Pre-Paid,83183.27,998199.24,36,43,7,4.6,1173,82.5,1,0,5.4,54.3,Core Functional,4,Yes,0.31,Medium,Active - Healthy
CUST-SAAS-00072,Prism Global U,Telecom & 5G,51-200 Employees,Switzerland,Startup Tier,Monthly Flexible,3002.37,36028.44,12,12,8,4.5,79,83.8,5,0,6.5,104.4,Basic Exploratory,6,Yes,0.3,Medium,Active - Healthy
CUST-SAAS-00073,Vanguard Digital V,Logistics & Supply Chain,10-50 Employees,Singapore,Enterprise Plus,Quarterly Invoiced,22780.4,273364.8,24,41,8,5.0,580,95.0,6,0,8.4,58.7,Core Functional,6,Yes,0.08,Low,Active - Healthy
CUST-SAAS-00074,Horizon Enterprises W,FinTech & Banking,5000+ Enterprise,Taiwan,Startup Tier,Monthly Flexible,1771.8,21261.6,12,20,9,4.2,40,78.1,7,0,11.9,134.6,Deep Advanced,1,Yes,0.14,Low,Active - Healthy
CUST-SAAS-00075,Strata Networks X,Logistics & Supply Chain,1000-5000 Employees,Japan,Enterprise Plus,Quarterly Invoiced,13567.45,162809.4,12,45,8,4.2,687,80.6,5,0,6.8,99.2,Full API Mesh & Automation,1,Yes,0.12,Low,Active - Healthy
CUST-SAAS-00076,Aero Software Y,Manufacturing & Robotics,10-50 Employees,Canada,Enterprise Plus,Quarterly Invoiced,17884.27,214611.24,36,10,8,4.5,793,87.1,5,0,1.7,149.7,Full API Mesh & Automation,5,Yes,0.24,Low,Active - Healthy
CUST-SAAS-00077,Pulse Capital Z,Telecom & 5G,5000+ Enterprise,United Kingdom,Custom Strategic,Monthly Flexible,28101.79,337221.48,48,41,8,4.4,2650,86.1,3,0,9.2,151.3,Full API Mesh & Automation,4,Yes,0.13,Low,Active - Healthy
CUST-SAAS-00078,Terra Labs A,Healthcare & BioTech,201-1000 Employees,Canada,Custom Strategic,Annual Pre-Paid,42813.98,513767.76,36,38,8,5.0,5984,88.0,1,0,9.0,122.2,Deep Advanced,0,Yes,0.1,Low,Active - Healthy
CUST-SAAS-00079,Cygnus Cloud B,Telecom & 5G,1000-5000 Employees,United States,Startup Tier,Monthly Flexible,860.96,10331.52,12,7,4,2.0,59,26.2,29,1,55.6,2.9,Basic Exploratory,27,No,0.76,High,Under Review
CUST-SAAS-00080,Novus Technologies C,Logistics & Supply Chain,5000+ Enterprise,Canada,Professional,Quarterly Invoiced,5039.8,60477.6,12,58,7,4.7,243,86.1,5,0,9.7,134.7,Deep Advanced,6,Yes,0.26,Medium,Active - Healthy
CUST-SAAS-00081,Polaris Group D,SaaS & Enterprise Cloud,1000-5000 Employees,Australia,Professional,Quarterly Invoiced,8714.74,104576.88,24,3,10,4.1,248,80.8,8,0,4.3,56.5,Basic Exploratory,3,Yes,0.14,Low,Active - Healthy
CUST-SAAS-00082,Echo Biomedical E,SaaS & Enterprise Cloud,5000+ Enterprise,United States,Startup Tier,Quarterly Invoiced,1254.95,15059.4,12,59,8,4.5,69,82.8,4,1,3.9,99.7,Full API Mesh & Automation,3,Yes,0.28,Medium,Active - Healthy
CUST-SAAS-00083,Synthetix Solutions F,Logistics & Supply Chain,10-50 Employees,Taiwan,Startup Tier,Multi-Year 3-Yr Strategic,2488.62,29863.44,12,43,4,2.7,11,30.1,15,3,61.2,12.0,Deep Advanced,60,No,0.92,Critical,Active - At Risk
CUST-SAAS-00084,Vector Robotics G,E-Commerce & Retail,1000-5000 Employees,Japan,Custom Strategic,Quarterly Invoiced,74527.94,894335.28,24,57,10,4.4,1659,94.9,1,0,2.8,62.3,Deep Advanced,3,Yes,0.08,Low,Active - Healthy
CUST-SAAS-00085,Zion Security H,Professional Services & Legal,51-200 Employees,Singapore,Professional,Monthly Flexible,3536.95,42443.4,12,51,8,4.8,290,90.7,4,0,9.5,88.0,Deep Advanced,4,Yes,0.12,Low,Active - Healthy
CUST-SAAS-00086,Aura Dynamics I,SaaS & Enterprise Cloud,51-200 Employees,Singapore,Enterprise Plus,Quarterly Invoiced,14441.79,173301.48,12,34,6,2.4,374,56.9,35,3,28.1,10.8,Basic Exploratory,71,No,0.87,Critical,Active - At Risk
CUST-SAAS-00087,Boreal Analytics J,SaaS & Enterprise Cloud,5000+ Enterprise,Switzerland,Startup Tier,Multi-Year 3-Yr Strategic,1866.94,22403.28,12,33,7,4.5,64,79.1,4,1,11.4,80.1,Deep Advanced,2,Yes,0.36,Medium,In Renewal Discussion
CUST-SAAS-00088,Crest Industries K,Professional Services & Legal,5000+ Enterprise,Japan,Professional,Multi-Year 3-Yr Strategic,5103.68,61244.16,12,8,2,2.4,89,40.5,20,1,33.4,13.7,Full API Mesh & Automation,64,No,0.79,High,Active - At Risk
CUST-SAAS-00089,Dynasty Systems L,Professional Services & Legal,1000-5000 Employees,Canada,Startup Tier,Multi-Year 3-Yr Strategic,2661.15,31933.8,12,10,9,4.0,58,79.6,6,0,8.7,53.9,Core Functional,6,Yes,0.05,Low,Active - Healthy
CUST-SAAS-00090,Apex Ventures M,FinTech & Banking,201-1000 Employees,France,Custom Strategic,Annual Pre-Paid,70973.95,851687.4,24,25,8,4.0,4604,81.4,2,0,4.6,89.3,Deep Advanced,6,Yes,0.17,Low,Active - Healthy
CUST-SAAS-00091,Nexus Logistics N,Healthcare & BioTech,5000+ Enterprise,Netherlands,Startup Tier,Monthly Flexible,888.81,10665.72,12,39,10,4.8,39,91.1,4,0,7.5,175.3,Core Functional,7,Yes,0.1,Low,Active - Healthy
CUST-SAAS-00092,Vertex Global O,Telecom & 5G,10-50 Employees,Netherlands,Custom Strategic,Annual Pre-Paid,33636.8,403641.6,24,36,8,4.4,3561,81.9,8,0,5.6,173.9,Deep Advanced,7,Yes,0.06,Low,Active - Healthy
CUST-SAAS-00093,Quantum Digital P,SaaS & Enterprise Cloud,10-50 Employees,Netherlands,Professional,Monthly Flexible,7736.07,92832.84,24,26,8,4.2,127,84.2,6,0,11.3,48.4,Basic Exploratory,7,Yes,0.12,Low,Active - Healthy
CUST-SAAS-00094,Hyperion Enterprises Q,E-Commerce & Retail,5000+ Enterprise,Japan,Professional,Quarterly Invoiced,6544.04,78528.48,24,44,7,4.0,138,87.0,5,0,10.8,89.0,Deep Advanced,1,Yes,0.14,Low,Active - Healthy
CUST-SAAS-00095,Aegis Networks R,Media & Entertainment,5000+ Enterprise,Japan,Enterprise Plus,Annual Pre-Paid,9493.97,113927.64,12,20,1,1.5,316,45.9,25,2,33.1,15.1,Core Functional,61,No,0.87,Critical,Active - At Risk
CUST-SAAS-00096,Cobalt Software S,Telecom & 5G,5000+ Enterprise,Australia,Startup Tier,Monthly Flexible,3029.47,36353.64,12,55,7,4.2,20,76.8,5,0,6.2,52.7,Full API Mesh & Automation,4,Yes,0.11,Low,Active - Healthy
CUST-SAAS-00097,Starlight Capital T,FinTech & Banking,201-1000 Employees,United Kingdom,Custom Strategic,Quarterly Invoiced,62860.94,754331.28,24,41,9,4.2,5698,94.1,7,0,4.2,147.1,Full API Mesh & Automation,7,Yes,0.17,Low,Active - Healthy
CUST-SAAS-00098,Titan Labs U,Professional Services & Legal,1000-5000 Employees,United States,Startup Tier,Monthly Flexible,1471.56,17658.72,12,21,10,4.7,49,76.1,3,0,8.2,108.8,Deep Advanced,3,Yes,0.1,Low,Active - Healthy
CUST-SAAS-00099,Lumina Cloud V,Government & Public Sector,1000-5000 Employees,Australia,Enterprise Plus,Monthly Flexible,26026.6,312319.2,24,8,9,4.5,846,93.1,8,1,7.7,139.6,Basic Exploratory,7,Yes,0.1,Low,Active - Healthy
CUST-SAAS-00100,Omni Technologies W,Energy & CleanTech,10-50 Employees,Singapore,Custom Strategic,Annual Pre-Paid,84951.2,1019414.4,36,31,5,2.9,1828,38.6,26,3,63.2,18.5,Basic Exploratory,52,No,0.66,High,Active - At Risk
CUST-SAAS-00101,Solaris Group X,Logistics & Supply Chain,5000+ Enterprise,Australia,Custom Strategic,Quarterly Invoiced,86677.9,1040134.8,36,44,10,4.3,2875,92.1,2,0,9.8,65.5,Deep Advanced,6,Yes,0.1,Low,Active - Healthy
CUST-SAAS-00102,Prism Biomedical Y,Manufacturing & Robotics,10-50 Employees,Japan,Startup Tier,Quarterly Invoiced,3095.93,37151.16,12,34,10,4.0,58,76.7,6,0,7.7,125.7,Full API Mesh & Automation,6,Yes,0.21,Low,Active - Healthy
CUST-SAAS-00103,Vanguard Solutions Z,Energy & CleanTech,1000-5000 Employees,United States,Custom Strategic,Monthly Flexible,87325.95,1047911.4,36,24,8,4.6,5383,97.0,6,0,3.8,108.2,Full API Mesh & Automation,2,Yes,0.31,Medium,Active - Healthy
