order_id,order_date,fiscal_year,fiscal_quarter,customer_id,customer_name,account_tier,industry,region,country,sales_channel,product_category,product_sku,product_name,quantity,unit_price,discount_rate_pct,total_amount,cogs_amount,gross_margin_pct,payment_terms,order_status,sales_rep
ORD-2024-00012,2026-01-08,2026,2026-Q1,CUST-0008,Umbrella Life Sciences,Enterprise Strategic,Pharma,APAC-South,Singapore,Online B2B Portal,Developer Tools,SKU-DEV-701,DevSecOps Automation Mesh,19,4275.0,11.0,72290.25,12990.56,82.03,Net 90,In Fulfillment,Michael Chang
ORD-2024-00013,2026-07-23,2026,2026-Q3,CUST-0007,Tyrell Synthetic Dynamics,Enterprise Strategic,Robotics,LATAM,Brazil,Online B2B Portal,Cloud Infrastructure,SKU-INFRA-805,High-Speed API Gateway Gateway,82,5292.0,9.0,394889.04,93628.19,76.29,Quarterly Net 30,Completed,Rachel Green
ORD-2024-00014,2024-11-27,2024,2024-Q4,CUST-0032,Zeus Renewable Power,Mid-Market,Clean Energy,US-East,United States,Direct Field Sales,Developer Tools,SKU-DEV-701,DevSecOps Automation Mesh,21,4320.0,4.0,87091.2,11722.48,86.54,Net 30,Completed,Astrid Lindgren
ORD-2024-00015,2025-05-12,2025,2025-Q2,CUST-0005,Wayne Enterprises Holdings,Enterprise Strategic,Finance & Industrial,APAC-East,South Korea,Strategic Reseller Partner,Cybersecurity Suite,SKU-SEC-402,Zero-Trust Security Perimeter,89,8989.0,15.0,680017.85,182788.8,73.12,Quarterly Net 30,Completed,Elena Rostova
ORD-2024-00016,2025-07-06,2025,2025-Q3,CUST-0013,Oceanic Airlines Group,Enterprise Strategic,Aviation,APAC-ANZ,Australia,Online B2B Portal,IoT & Edge Computing,SKU-IOT-330,Edge IoT Fleet Orchestrator,90,6732.0,18.0,496821.6,138414.5,72.14,Net 30,In Fulfillment,Elena Rostova
ORD-2024-00017,2024-03-06,2024,2024-Q1,CUST-0022,Gekko Financial Partners,Enterprise Strategic,FinTech & Hedge Fund,US-East,United States,Strategic Reseller Partner,Cybersecurity Suite,SKU-SEC-410,Compliance & Audit Vault,33,7416.0,5.0,232491.6,68654.77,70.47,Net 30,Completed,Hannah Schmidt
ORD-2024-00018,2024-12-04,2024,2024-Q4,CUST-0005,Wayne Enterprises Holdings,Enterprise Strategic,Finance & Industrial,APAC-East,Japan,Strategic Reseller Partner,Enterprise ERP,SKU-ERP-101,Global ERP Enterprise Suite,90,35350.0,15.0,2704275.0,816961.48,69.79,Quarterly Net 30,Completed,Elena Rostova
ORD-2024-00019,2026-03-14,2026,2026-Q1,CUST-0031,Athena Health Systems,Mid-Market,Healthcare,APAC-East,South Korea,Global Alliance Partner,Database Infrastructure,SKU-DB-880,QuantumDB Distributed Cluster,8,16335.0,1.0,129373.2,25370.08,80.39,Annual Pre-Paid,Completed,Vikram Patel
ORD-2024-00020,2025-10-31,2025,2025-Q4,CUST-0007,Tyrell Synthetic Dynamics,Enterprise Strategic,Robotics,US-East,United States,Global Alliance Partner,Developer Tools,SKU-DEV-701,DevSecOps Automation Mesh,107,4320.0,22.0,360547.2,59418.18,83.52,Annual Pre-Paid,In Fulfillment,Jessica Taylor
ORD-2024-00021,2024-07-06,2024,2024-Q3,CUST-0018,Virtucon Industries,Enterprise Strategic,Industrial Equipment,EU-Central,Switzerland,Strategic Reseller Partner,AI Platform,SKU-AI-9001,Neural Fabric GenAI Platform,61,26288.0,21.0,1266818.72,243482.56,80.78,Quarterly Net 30,Completed,Sarah Chen
ORD-2024-00022,2026-08-06,2026,2026-Q3,CUST-0016,Dunder Mifflin Paper & Tech,SMB Growth,Retail & Supplies,US-Central,United States,Global Alliance Partner,AI Platform,SKU-AI-9050,Realtime Anomaly Detection,8,10976.0,2.0,86051.84,18526.96,78.47,Annual Pre-Paid,Completed,Jessica Taylor
ORD-2024-00023,2024-09-28,2024,2024-Q3,CUST-0030,Sartre Software SAS,SMB Growth,Dev Tools,EU-Central,Germany,Global Alliance Partner,Cloud Infrastructure,SKU-INFRA-805,High-Speed API Gateway Gateway,11,5076.0,6.0,52485.84,11877.55,77.37,Net 30,Completed,Astrid Lindgren
ORD-2024-00024,2024-11-17,2024,2024-Q4,CUST-0004,Stark Aerospace & Defense,Enterprise Strategic,Aerospace,US-East,United States,Global Alliance Partner,Cloud Infrastructure,SKU-INFRA-805,High-Speed API Gateway Gateway,114,5022.0,16.0,480906.72,100701.87,79.06,Net 60,Completed,Rachel Green
ORD-2024-00025,2024-03-10,2024,2024-Q1,CUST-0016,Dunder Mifflin Paper & Tech,SMB Growth,Retail & Supplies,EU-North,Netherlands,Direct Field Sales,Cybersecurity Suite,SKU-SEC-410,Compliance & Audit Vault,4,6696.0,5.0,25444.8,7465.5,70.66,Quarterly Net 30,Pending Verification,Brian O'Connor
ORD-2024-00026,2024-09-24,2024,2024-Q3,CUST-0014,Nakatomi Trading Corp,Mid-Market,Trading & Real Estate,APAC-South,Singapore,Online B2B Portal,Database Infrastructure,SKU-DB-880,QuantumDB Distributed Cluster,18,16995.0,6.0,287555.4,59236.41,79.4,Net 90,Completed,Alex Mercer
ORD-2024-00027,2025-04-14,2025,2025-Q2,CUST-0007,Tyrell Synthetic Dynamics,Enterprise Strategic,Robotics,US-West,United States,Strategic Reseller Partner,Cloud Infrastructure,SKU-INFRA-805,High-Speed API Gateway Gateway,38,5292.0,8.0,185008.32,45234.53,75.55,Net 60,Pending Verification,Kenji Sato
ORD-2024-00028,2024-06-10,2024,2024-Q2,CUST-0029,Omni Consumer Products,Enterprise Strategic,Consumer Tech,LATAM,Brazil,Online B2B Portal,Cybersecurity Suite,SKU-SEC-410,Compliance & Audit Vault,108,6624.0,18.0,586621.44,137621.39,76.54,Net 90,Completed,Brian O'Connor
ORD-2024-00029,2024-05-17,2024,2024-Q2,CUST-0017,Sterling Cooper Advertising,Mid-Market,Marketing & Media,US-West,United States,Direct Field Sales,Cloud Infrastructure,SKU-INFRA-805,High-Speed API Gateway Gateway,11,5508.0,4.0,58164.48,11202.48,80.74,Net 60,Pending Verification,Michael Chang
ORD-2024-00030,2025-05-15,2025,2025-Q2,CUST-0017,Sterling Cooper Advertising,Mid-Market,Marketing & Media,MEA,United Arab Emirates,Direct Field Sales,AI Platform,SKU-AI-9001,Neural Fabric GenAI Platform,29,23064.0,12.0,588593.28,102003.22,82.67,Net 60,Pending Verification,Marcus Vance
ORD-2024-00031,2026-01-29,2026,2026-Q1,CUST-0029,Omni Consumer Products,Enterprise Strategic,Consumer Tech,APAC-East,Japan,Global Alliance Partner,Cloud Infrastructure,SKU-INFRA-805,High-Speed API Gateway Gateway,6,5778.0,7.0,32241.24,6277.37,80.53,Net 60,Completed,Hannah Schmidt
ORD-2024-00032,2025-01-13,2025,2025-Q1,CUST-0010,Hooli Enterprise Cloud,Enterprise Strategic,Cloud Services,EU-North,Netherlands,Strategic Reseller Partner,Cloud Infrastructure,SKU-INFRA-801,Enterprise Data Lakehouse Engine,44,13375.0,12.0,517880.0,94357.74,81.78,Net 30,Pending Verification,Elena Rostova
ORD-2024-00033,2025-11-29,2025,2025-Q4,CUST-0016,Dunder Mifflin Paper & Tech,SMB Growth,Retail & Supplies,APAC-South,Singapore,Direct Field Sales,Developer Tools,SKU-DEV-701,DevSecOps Automation Mesh,13,4770.0,4.0,59529.6,6077.97,89.79,Net 60,In Fulfillment,Hannah Schmidt
ORD-2024-00034,2024-06-15,2024,2024-Q2,CUST-0012,Massive Dynamic AI,Enterprise Strategic,Artificial Intelligence,MEA,United Arab Emirates,Global Alliance Partner,Cloud Infrastructure,SKU-INFRA-801,Enterprise Data Lakehouse Engine,27,12125.0,20.0,261900.0,48582.45,81.45,Net 60,Pending Verification,Marcus Vance
ORD-2024-00035,2026-03-17,2026,2026-Q1,CUST-0007,Tyrell Synthetic Dynamics,Enterprise Strategic,Robotics,EU-North,Netherlands,Direct Field Sales,AI Platform,SKU-AI-9050,Realtime Anomaly Detection,33,11984.0,9.0,359879.52,69096.87,80.8,Net 60,In Fulfillment,Alex Mercer
ORD-2024-00036,2025-11-06,2025,2025-Q4,CUST-0013,Oceanic Airlines Group,Enterprise Strategic,Aviation,EU-North,Netherlands,Online B2B Portal,Enterprise ERP,SKU-ERP-101,Global ERP Enterprise Suite,115,36400.0,6.0,3934840.0,1305973.4,66.81,Quarterly Net 30,Completed,Vikram Patel
ORD-2024-00037,2026-05-13,2026,2026-Q2,CUST-0035,Hyperion Data Mesh,Mid-Market,Data Infrastructure,EU-West,France,Direct Field Sales,AI Platform,SKU-AI-9001,Neural Fabric GenAI Platform,18,26536.0,3.0,463318.56,82841.36,82.12,Net 30,Completed,David Lin
ORD-2024-00038,2026-01-16,2026,2026-Q1,CUST-0021,Weyland-Yutani Deep Space,Enterprise Strategic,Energy & Mining,EU-North,Netherlands,Direct Field Sales,IoT & Edge Computing,SKU-IOT-330,Edge IoT Fleet Orchestrator,120,6528.0,17.0,650188.8,171194.71,73.67,Net 30,In Fulfillment,David Lin
ORD-2024-00039,2025-03-17,2025,2025-Q1,CUST-0005,Wayne Enterprises Holdings,Enterprise Strategic,Finance & Industrial,APAC-South,Singapore,Online B2B Portal,Cybersecurity Suite,SKU-SEC-410,Compliance & Audit Vault,45,6768.0,18.0,249739.2,56940.54,77.2,Quarterly Net 30,Pending Verification,Vikram Patel
ORD-2024-00040,2025-02-22,2025,2025-Q1,CUST-0021,Weyland-Yutani Deep Space,Enterprise Strategic,Energy & Mining,EU-North,Netherlands,Online B2B Portal,Cloud Infrastructure,SKU-INFRA-805,High-Speed API Gateway Gateway,21,5562.0,9.0,106289.82,23351.87,78.03,Net 60,Pending Verification,Jessica Taylor
ORD-2024-00041,2025-07-15,2025,2025-Q3,CUST-0001,Cyberdyne Systems Corp,Enterprise Strategic,Technology & AI,EU-Central,Germany,Online B2B Portal,Database Infrastructure,SKU-DB-880,QuantumDB Distributed Cluster,60,16830.0,21.0,797742.0,162898.92,79.58,Annual Pre-Paid,Completed,Vikram Patel
ORD-2024-00042,2024-08-06,2024,2024-Q3,CUST-0033,Apex FinTech Global,Enterprise Strategic,Banking,EU-Central,Switzerland,Strategic Reseller Partner,AI Platform,SKU-AI-9001,Neural Fabric GenAI Platform,41,25296.0,15.0,881565.6,152687.16,82.68,Net 60,Pending Verification,Elena Rostova
ORD-2024-00043,2026-04-05,2026,2026-Q2,CUST-0013,Oceanic Airlines Group,Enterprise Strategic,Aviation,US-Central,United States,Direct Field Sales,Cloud Infrastructure,SKU-INFRA-801,Enterprise Data Lakehouse Engine,36,12750.0,25.0,344250.0,68333.62,80.15,Annual Pre-Paid,Completed,Brian O'Connor
ORD-2024-00044,2025-10-06,2025,2025-Q4,CUST-0013,Oceanic Airlines Group,Enterprise Strategic,Aviation,APAC-ANZ,Australia,Global Alliance Partner,AI Platform,SKU-AI-9050,Realtime Anomaly Detection,56,11424.0,10.0,575769.6,126439.0,78.04,Net 30,Completed,Elena Rostova
ORD-2024-00045,2024-06-29,2024,2024-Q2,CUST-0034,Quantum Peak Labs,SMB Growth,Semiconductor,EU-Central,Switzerland,Direct Field Sales,Cloud Infrastructure,SKU-INFRA-805,High-Speed API Gateway Gateway,4,5076.0,7.0,18882.72,4518.63,76.07,Annual Pre-Paid,Pending Verification,Gabriel Santos
ORD-2024-00046,2026-07-01,2026,2026-Q3,CUST-0029,Omni Consumer Products,Enterprise Strategic,Consumer Tech,APAC-East,Taiwan,Global Alliance Partner,Cloud Infrastructure,SKU-INFRA-805,High-Speed API Gateway Gateway,62,5616.0,23.0,268107.84,56838.86,78.8,Net 90,In Fulfillment,Hannah Schmidt
ORD-2024-00047,2025-10-14,2025,2025-Q4,CUST-0018,Virtucon Industries,Enterprise Strategic,Industrial Equipment,APAC-East,South Korea,Global Alliance Partner,Database Infrastructure,SKU-DB-880,QuantumDB Distributed Cluster,40,16995.0,14.0,584628.0,123473.43,78.88,Net 90,Pending Verification,Brian O'Connor
ORD-2024-00048,2025-07-07,2025,2025-Q3,CUST-0006,Soylent BioTech Global,Mid-Market,BioTech,US-Central,United States,Strategic Reseller Partner,Database Infrastructure,SKU-DB-880,QuantumDB Distributed Cluster,26,16995.0,10.0,397683.0,89438.91,77.51,Annual Pre-Paid,Pending Verification,Michael Chang
ORD-2024-00049,2025-04-22,2025,2025-Q2,CUST-0027,Vault-Tec Security Hub,Enterprise Strategic,Cybersecurity,US-East,United States,Strategic Reseller Partner,IoT & Edge Computing,SKU-IOT-330,Edge IoT Fleet Orchestrator,54,6868.0,23.0,285571.44,75505.09,73.56,Quarterly Net 30,Completed,Chloe Dubois
ORD-2024-00050,2024-01-07,2024,2024-Q1,CUST-0023,Delos Experience Living,Enterprise Strategic,Hospitality,EU-Central,Germany,Global Alliance Partner,IoT & Edge Computing,SKU-IOT-330,Edge IoT Fleet Orchestrator,73,6868.0,20.0,401091.2,108976.48,72.83,Net 60,Completed,Elena Rostova
ORD-2024-00051,2024-10-06,2024,2024-Q4,CUST-0028,LexCorp Advanced Metals,Enterprise Strategic,Materials,EU-Central,Switzerland,Direct Field Sales,IoT & Edge Computing,SKU-IOT-330,Edge IoT Fleet Orchestrator,48,7140.0,18.0,281030.4,73658.07,73.79,Annual Pre-Paid,In Fulfillment,Rachel Green
ORD-2024-00052,2025-06-30,2025,2025-Q2,CUST-0002,Globex Corporation,Enterprise Strategic,Conglomerate,MEA,United Arab Emirates,Global Alliance Partner,Cybersecurity Suite,SKU-SEC-410,Compliance & Audit Vault,77,6696.0,18.0,422785.44,112334.09,73.43,Annual Pre-Paid,In Fulfillment,Alex Mercer
ORD-2024-00053,2024-09-23,2024,2024-Q3,CUST-0025,Black Mesa Research,Enterprise Strategic,Scientific R&D,EU-West,France,Strategic Reseller Partner,AI Platform,SKU-AI-9050,Realtime Anomaly Detection,46,11872.0,12.0,480578.56,95010.38,80.23,Annual Pre-Paid,Pending Verification,Hannah Schmidt
ORD-2024-00054,2024-03-24,2024,2024-Q1,CUST-0031,Athena Health Systems,Mid-Market,Healthcare,US-East,United States,Direct Field Sales,Developer Tools,SKU-DEV-701,DevSecOps Automation Mesh,16,4680.0,10.0,67392.0,8619.44,87.21,Net 30,In Fulfillment,Elena Rostova
ORD-2024-00055,2026-05-09,2026,2026-Q2,CUST-0002,Globex Corporation,Enterprise Strategic,Conglomerate,APAC-East,Taiwan,Strategic Reseller Partner,Database Infrastructure,SKU-DB-880,QuantumDB Distributed Cluster,21,15510.0,14.0,280110.6,43193.05,84.58,Annual Pre-Paid,Pending Verification,Gabriel Santos
ORD-2024-00056,2025-01-12,2025,2025-Q1,CUST-0011,Pied Piper Compression,Mid-Market,DeepTech,APAC-East,Taiwan,Direct Field Sales,Cybersecurity Suite,SKU-SEC-402,Zero-Trust Security Perimeter,21,8188.0,2.0,168509.04,44654.9,73.5,Annual Pre-Paid,Completed,Astrid Lindgren
ORD-2024-00057,2024-07-22,2024,2024-Q3,CUST-0005,Wayne Enterprises Holdings,Enterprise Strategic,Finance & Industrial,APAC-East,Taiwan,Strategic Reseller Partner,AI Platform,SKU-AI-9001,Neural Fabric GenAI Platform,94,26288.0,20.0,1976857.6,300482.36,84.8,Net 30,Completed,David Lin
ORD-2024-00058,2025-06-29,2025,2025-Q2,CUST-0028,LexCorp Advanced Metals,Enterprise Strategic,Materials,APAC-South,Singapore,Online B2B Portal,AI Platform,SKU-AI-9001,Neural Fabric GenAI Platform,69,22816.0,18.0,1290929.28,214810.63,83.36,Annual Pre-Paid,Completed,Jessica Taylor
ORD-2024-00059,2025-01-05,2025,2025-Q1,CUST-0030,Sartre Software SAS,SMB Growth,Dev Tools,APAC-ANZ,Australia,Strategic Reseller Partner,IoT & Edge Computing,SKU-IOT-330,Edge IoT Fleet Orchestrator,3,7276.0,6.0,20518.32,6122.67,70.16,Quarterly Net 30,Completed,Chloe Dubois
ORD-2024-00060,2025-03-22,2025,2025-Q1,CUST-0018,Virtucon Industries,Enterprise Strategic,Industrial Equipment,EU-West,France,Strategic Reseller Partner,AI Platform,SKU-AI-9001,Neural Fabric GenAI Platform,40,23808.0,23.0,733286.4,119379.03,83.72,Quarterly Net 30,Completed,David Lin
ORD-2024-00061,2024-01-30,2024,2024-Q1,CUST-0032,Zeus Renewable Power,Mid-Market,Clean Energy,LATAM,Brazil,Online B2B Portal,Cybersecurity Suite,SKU-SEC-402,Zero-Trust Security Perimeter,33,9345.0,3.0,299133.45,78612.27,73.72,Quarterly Net 30,Pending Verification,Michael Chang
ORD-2024-00062,2024-01-11,2024,2024-Q1,CUST-0034,Quantum Peak Labs,SMB Growth,Semiconductor,EU-West,United Kingdom,Direct Field Sales,Database Infrastructure,SKU-DB-880,QuantumDB Distributed Cluster,12,16665.0,3.0,193980.6,40891.11,78.92,Annual Pre-Paid,Completed,Chloe Dubois
ORD-2024-00063,2026-03-22,2026,2026-Q1,CUST-0002,Globex Corporation,Enterprise Strategic,Conglomerate,US-West,United States,Online B2B Portal,Database Infrastructure,SKU-DB-880,QuantumDB Distributed Cluster,56,16005.0,19.0,725986.8,133218.58,81.65,Annual Pre-Paid,Pending Verification,Jessica Taylor
ORD-2024-00064,2026-02-02,2026,2026-Q1,CUST-0022,Gekko Financial Partners,Enterprise Strategic,FinTech & Hedge Fund,EU-West,France,Global Alliance Partner,Enterprise ERP,SKU-ERP-101,Global ERP Enterprise Suite,44,32900.0,10.0,1302840.0,448958.66,65.54,Net 30,In Fulfillment,Elena Rostova
ORD-2024-00065,2024-08-09,2024,2024-Q3,CUST-0031,Athena Health Systems,Mid-Market,Healthcare,EU-Central,Germany,Online B2B Portal,AI Platform,SKU-AI-9001,Neural Fabric GenAI Platform,14,24304.0,4.0,326645.76,57424.32,82.42,Quarterly Net 30,In Fulfillment,Kenji Sato
ORD-2024-00066,2024-02-16,2024,2024-Q1,CUST-0004,Stark Aerospace & Defense,Enterprise Strategic,Aerospace,APAC-East,Japan,Online B2B Portal,Cybersecurity Suite,SKU-SEC-402,Zero-Trust Security Perimeter,86,8900.0,22.0,597012.0,131462.04,77.98,Quarterly Net 30,Pending Verification,Chloe Dubois
ORD-2024-00067,2025-05-05,2025,2025-Q2,CUST-0029,Omni Consumer Products,Enterprise Strategic,Consumer Tech,EU-West,France,Strategic Reseller Partner,Cloud Infrastructure,SKU-INFRA-801,Enterprise Data Lakehouse Engine,37,12500.0,24.0,351500.0,68261.3,80.58,Annual Pre-Paid,Completed,Sarah Chen
ORD-2024-00068,2025-08-13,2025,2025-Q3,CUST-0004,Stark Aerospace & Defense,Enterprise Strategic,Aerospace,US-Central,United States,Strategic Reseller Partner,Cybersecurity Suite,SKU-SEC-410,Compliance & Audit Vault,43,6912.0,7.0,276410.88,70595.34,74.46,Annual Pre-Paid,In Fulfillment,Gabriel Santos
ORD-2024-00069,2025-06-19,2025,2025-Q2,CUST-0025,Black Mesa Research,Enterprise Strategic,Scientific R&D,EU-Central,Switzerland,Global Alliance Partner,Enterprise ERP,SKU-ERP-101,Global ERP Enterprise Suite,115,34650.0,17.0,3307342.5,1040159.22,68.55,Net 30,Completed,Gabriel Santos
ORD-2024-00070,2024-07-31,2024,2024-Q3,CUST-0014,Nakatomi Trading Corp,Mid-Market,Trading & Real Estate,EU-Central,Germany,Direct Field Sales,Cybersecurity Suite,SKU-SEC-402,Zero-Trust Security Perimeter,17,8277.0,3.0,136487.73,39554.14,71.02,Annual Pre-Paid,Completed,Kenji Sato
ORD-2024-00071,2024-02-03,2024,2024-Q1,CUST-0015,Acme Aerospace Systems,Mid-Market,Manufacturing,EU-Central,Germany,Online B2B Portal,AI Platform,SKU-AI-9050,Realtime Anomaly Detection,6,11984.0,10.0,64713.6,10160.04,84.3,Quarterly Net 30,In Fulfillment,Jessica Taylor
ORD-2024-00072,2024-04-27,2024,2024-Q2,CUST-0035,Hyperion Data Mesh,Mid-Market,Data Infrastructure,EU-West,United Kingdom,Strategic Reseller Partner,Enterprise ERP,SKU-ERP-101,Global ERP Enterprise Suite,11,33250.0,1.0,362092.5,121445.82,66.46,Quarterly Net 30,Pending Verification,Chloe Dubois
ORD-2024-00073,2024-05-07,2024,2024-Q2,CUST-0030,Sartre Software SAS,SMB Growth,Dev Tools,APAC-ANZ,Australia,Online B2B Portal,IoT & Edge Computing,SKU-IOT-330,Edge IoT Fleet Orchestrator,5,6800.0,4.0,32640.0,10235.9,68.64,Net 30,Completed,Astrid Lindgren
ORD-2024-00074,2024-11-26,2024,2024-Q4,CUST-0017,Sterling Cooper Advertising,Mid-Market,Marketing & Media,US-East,United States,Direct Field Sales,Database Infrastructure,SKU-DB-880,QuantumDB Distributed Cluster,38,15180.0,9.0,524924.4,88607.24,83.12,Net 90,Completed,Gabriel Santos
ORD-2024-00075,2026-02-13,2026,2026-Q1,CUST-0012,Massive Dynamic AI,Enterprise Strategic,Artificial Intelligence,EU-Central,Switzerland,Global Alliance Partner,Enterprise ERP,SKU-ERP-101,Global ERP Enterprise Suite,28,34650.0,25.0,727650.0,214583.98,70.51,Net 30,Completed,David Lin
ORD-2024-00076,2025-02-22,2025,2025-Q1,CUST-0022,Gekko Financial Partners,Enterprise Strategic,FinTech & Hedge Fund,EU-West,France,Direct Field Sales,Cybersecurity Suite,SKU-SEC-402,Zero-Trust Security Perimeter,47,8900.0,13.0,363921.0,86249.28,76.3,Annual Pre-Paid,Completed,Chloe Dubois
ORD-2024-00077,2024-03-31,2024,2024-Q1,CUST-0021,Weyland-Yutani Deep Space,Enterprise Strategic,Energy & Mining,EU-Central,Germany,Online B2B Portal,AI Platform,SKU-AI-9001,Neural Fabric GenAI Platform,103,24800.0,13.0,2222328.0,268901.69,87.9,Quarterly Net 30,Completed,Jessica Taylor
ORD-2024-00078,2024-02-25,2024,2024-Q1,CUST-0013,Oceanic Airlines Group,Enterprise Strategic,Aviation,APAC-East,Japan,Online B2B Portal,Cybersecurity Suite,SKU-SEC-410,Compliance & Audit Vault,101,7128.0,15.0,611938.8,181072.69,70.41,Net 90,In Fulfillment,Brian O'Connor
ORD-2024-00079,2024-10-21,2024,2024-Q4,CUST-0029,Omni Consumer Products,Enterprise Strategic,Consumer Tech,MEA,United Arab Emirates,Global Alliance Partner,AI Platform,SKU-AI-9001,Neural Fabric GenAI Platform,8,25296.0,24.0,153799.68,27822.36,81.91,Net 60,Pending Verification,Michael Chang
ORD-2024-00080,2024-01-15,2024,2024-Q1,CUST-0027,Vault-Tec Security Hub,Enterprise Strategic,Cybersecurity,US-West,United States,Strategic Reseller Partner,AI Platform,SKU-AI-9001,Neural Fabric GenAI Platform,64,25296.0,24.0,1230397.44,230945.6,81.23,Net 90,Pending Verification,Jessica Taylor
ORD-2024-00081,2026-05-04,2026,2026-Q2,CUST-0031,Athena Health Systems,Mid-Market,Healthcare,EU-Central,Switzerland,Strategic Reseller Partner,AI Platform,SKU-AI-9050,Realtime Anomaly Detection,37,10640.0,2.0,385806.4,66358.7,82.8,Net 60,Completed,Kenji Sato
ORD-2024-00082,2026-03-02,2026,2026-Q1,CUST-0027,Vault-Tec Security Hub,Enterprise Strategic,Cybersecurity,EU-West,France,Online B2B Portal,Cloud Infrastructure,SKU-INFRA-801,Enterprise Data Lakehouse Engine,41,13125.0,20.0,430500.0,91954.8,78.64,Annual Pre-Paid,In Fulfillment,Chloe Dubois
ORD-2024-00083,2025-07-05,2025,2025-Q3,CUST-0031,Athena Health Systems,Mid-Market,Healthcare,EU-West,France,Online B2B Portal,Cloud Infrastructure,SKU-INFRA-805,High-Speed API Gateway Gateway,36,5778.0,6.0,195527.52,35273.16,81.96,Net 60,Completed,Elena Rostova
ORD-2024-00084,2026-05-26,2026,2026-Q2,CUST-0027,Vault-Tec Security Hub,Enterprise Strategic,Cybersecurity,US-East,United States,Online B2B Portal,AI Platform,SKU-AI-9050,Realtime Anomaly Detection,95,10976.0,23.0,802894.4,113127.82,85.91,Net 60,Completed,Alex Mercer
